,name,src,dst,service,protocol,action,Logging ,comments
1,MDM to Firewall,Host_198.18.251.12,Any,Any,Any,Permit,Log,Aryaka Internal
2,Firewall to MDM server allow,Any,Host_198.18.251.12,Any,Any,Permit,Log,Aryaka Internal
3,Yoda to Firewall,Yoda-pri-198.18.253.0-28;APE_10.50.84.172,Any,Any,Any,Permit,Log,Aryaka Internal
4,Firewall to Yoda,Any,"Yoda-pri-198.18.253.0-28;
APE_10.50.84.172",Any,Any,Permit,Log,Aryaka Internal
5,BGP Allow,See em-es-mad-001/002 policy for configuration example,See em-es-mad-001/002 policy for configuration example,bgp,Any,Permit,Log,Aryaka Internal OSPF/BGP Local
6,OSPF Allow,See em-es-mad-001/002 policy for configuration example,See em-es-mad-001/002 policy for configuration example,ospf,Any,Permit,Log,Aryaka Internal OSPF/BGP Local
7,allow-gball-to-s4-usw1-prod,GRPNET-em-uk-london-all-001,"az-us-usw1-s4-prd-fiori-001 (10.51.8.10)
az-us-usw1-s4-lbfe-ps1-ascs-001 (10.51.2.10)
az-us-usw1-pwflapp01-001 
az-us-usw1-pwflapp02-001
az-us-usw1-ps1lapp10-001
az-us-usw1-ps1lapp11-001
az-us-usw1-pwllapp01-001
az-us-usw1-ps1lapp12-001
","443 (https)
3645 (sap-ms-3645)
3202 (sap-disp-3202)
3203 (sap-disp-3203)
3645 (sap-ms-3645)
3201  (sap-disp-3201)
8003  (sap-http-8003)
8002  (sap-http-8002)
8022  (sap-http-8022)
44302 (sap-https-44302)
44303 (sap-https-44303)
3204 (sap-disp-3204)
44304 (sap-https-44304)",TCP,Permit,Log,Global SAP S4-Fiori and SapGui Production access. 
8,allow-gball-to-mdg-usw1-prod,GRPNET-em-uk-london-all-002,"az-us-usw1-mdg-prd-fiori-001 (10.51.2.27)
az-us-usw1-mdg-lbfe-pm1-ascs-001 (10.51.2.27)
az-us-usw1-pwflapp01-001
az-us-usw1-pwflapp02-001
az-us-usw1-pm1lapp10-001
az-us-usw1-pm1lapp11-001","443 (https)
3600 (sap-ms-3600)
3200 (sap-disp-3200)
3210 (sap-disp-3210)
3211 (sap-disp-3211)
3201 (sap-disp-3201)",TCP,Permit,Log,Global SAP MDG-Fiori and SapGui Production access. 
9,allow-gball-to-grc-usw1-prod,GRPNET-em-uk-london-all-003,az-us-usw1-pgrlapp01-001,"443 (https)
3200 (sap-disp-3200)
3300 (sap-gw-3300)
8000 (sap-http-8000)
8001 (sap-http-8001)",TCP,Permit,Log,Global SAP GRC-Fiori and SapGui Production access. 
10,allow-gball-to-solman-usw1-prod,GRPNET-em-uk-london-all-004,"az-us-usw1-servl0021-001
az-us-usw1-pwllapp01-001","50101 (sap-https-50101)
443 (https)",TCP,Permit,Log,SAP SOLMAN - Fiori Production access.
