position,Active/New,rule name if group (grp) used,src,port,dst,protocol,service,action,Logging,comments
1,Active,MDM server to Firewall allow,Host_198.18.251.12,Any,Any,Any,Any,Accept,Log,
2,Active,Firewall to MDM server allow,Any,Any,Host_198.18.251.12,Any,Any,Accept,Log,
3,Active,allow-sgall-to-s4-usw1-prod,GRPNET-ap-sg-rhq-all-001,Any,"az-us-usw1-s4-prd-fiori-001;
az-us-usw1-s4-lbfe-ps1-ascs-001;
az-us-usw1-pwflapp01-001;
az-us-usw1-pwflapp02-001;
az-us-usw1-ps1lapp10-001;
az-us-usw1-ps1lapp11-001",Any,"https;
sap-ms-3645;
sap-disp-3202;
sap-disp-3203",Accept,None,
4,Active,allow-sgall-to-mdg-usw1-prod,GRPNET-ap-sg-rhq-all-001,Any,"az-us-usw1-mdg-prd-fiori-001;
az-us-usw1-mdg-lbfe-pm1-ascs-001;
az-us-usw1-pwflapp01-001;
az-us-usw1-pwflapp02-001;
az-us-usw1-pm1lapp10-001;
az-us-usw1-pm1lapp11-001",Any,"https;
sap-ms-3600",Accept,None,
5,Active,allow-sgall-to-grc-usw1-prod,GRPNET-ap-sg-rhq-all-001,Any,az-us-usw1-pgrlapp01-001,Any,"https;
sap-disp-3200;
sap-gw-3300",Accept,None,
6,Active,allow-sgall-to-solman-usw1-prod,GRPNET-ap-sg-rhq-all-001,Any,az-us-usw1-servl0021-001,Any,sap-https-50101,Accept,None,
7,Active,allow-sgall-to-enow-usw1-prod,GRPNET-ap-sg-rhq-all-001,Any,az-us-usw1-penwapp01-001,Any,https,Accept,None,
8,Active,allow-sgall-to-pi-po-usw1-prod,GRPNET-ap-sg-rhq-all-001,Any,"az-us-usw1-pwflapp01-001;
az-us-usw1-pwflapp02-001;
az-us-usw1-ppflapp10-001;
az-us-usw1-ppflapp11-001",Any,"sap-http-51000;
sap-https-51001;
sap-http-51100;
sap-https-51101;
https;
http",Accept,None,
9,Active,allow-sg-apacsgfccuat01-to-dftlapn01-usw1-qual,ap-sg-rhq-apacsgfccuat01-001,Any,az-us-usw1-dftlapn01-001,Any,ssh,Accept,None,
10,Active,allow-usw1-dftlapn01-to-apacsgfccuat01-sg-qual,az-us-usw1-dftlapn01-001,Any,ap-sg-rhq-apacsgfccuat01-001,Any,ssh,Accept,None,
11,Active,allow-sg-apacsgfccprd01-to-pftlapp01-usw1-prod,ap-sg-rhq-apacsgfccprd01-001,Any,az-us-usw1-pftlapp01-001,Any,ssh,Accept,None,
