Environment,rule name if group (grp) used,src,dst,port (port names),protocol,action,Logging ,comments
Production,allow-sgall-to-s4-usw1-prod,GRPNET-ap-sg-rhq-all-001,"az-us-usw1-s4-prd-fiori-001 (10.51.8.10)
az-us-usw1-s4-lbfe-ps1-ascs-001 (10.51.2.10)
az-us-usw1-pwflapp01-001 
az-us-usw1-pwflapp02-001
az-us-usw1-ps1lapp10-001
az-us-usw1-ps1lapp11-001","443 (https)
3645 (sap-ms-3645)
3202 (sap-disp-3202)
3203 (sap-disp-3203)
3645 (sap-ms-3645)",TCP,permit,deny log only,Global SAP S4-Fiori and SapGui Production access. 
Production,allow-sgall-to-mdg-usw1-prod,GRPNET-ap-sg-rhq-all-001,"az-us-usw1-mdg-prd-fiori-001 (10.51.2.27)
az-us-usw1-mdg-lbfe-pm1-ascs-001 (10.51.2.27)
az-us-usw1-pwflapp01-001
az-us-usw1-pwflapp02-001
az-us-usw1-pm1lapp10-001
az-us-usw1-pm1lapp11-001","443 (https)
3600 (sap-ms-3600)",TCP,permit,deny log only,Global SAP MDG-Fiori and SapGui Production access. 
Production,allow-sgall-to-grc-usw1-prod,GRPNET-ap-sg-rhq-all-001,az-us-usw1-pgrlapp01-001,"443 (htps)
3200 (sap-disp-3200)
3300 (sap-gw-3300)",TCP,permit,deny log only,Global SAP GRC-Fiori and SapGui Production access. 
Production,allow-sgall-to-solman-usw1-prod,GRPNET-ap-sg-rhq-all-001,az-us-usw1-servl0021-001,50101 (sap-https-50101),TCP,permit,deny log only,SAP SOLMAN - Fiori Production access.
Production,allow-sgall-to-enow-usw1-prod,GRPNET-ap-sg-rhq-all-001,az-us-usw1-penwapp01-001,443 (https),TCP,permit,deny log only,SAP ENABLENOW - WebUI production access.
Production,allow-sgall-to-pi-po-usw1-prod,GRPNET-ap-sg-rhq-all-001,"az-us-usw1-pwflapp01-001
az-us-usw1-pwflapp02-001
az-us-usw1-ppflapp10-001
az-us-usw1-ppflapp11-001","51000 (sap-http-51000)
51001  (sap-https-51001)
51100  (sap-http-51100)
51101  (sap-https-51101)
https
http",TCP,permit,deny log only,SAP PI/PO - Production access. 
Production,allow-sg-apacsgfccuat01-to-dftlapn01-usw1-qual,ap-sg-rhq-apacsgfccuat01-001  (10.33.106.228),az-us-usw1-dftlapn01-001,22 (ssh),TCP,permit,deny log only,SAP SFTP communication channel from SG to WUS1 Qual
Production,allow-usw1-dftlapn01-to-apacsgfccuat01-sg-qual,az-us-usw1-dftlapn01-001,ap-sg-rhq-apacsgfccuat01-001  (10.33.106.228),22 (ssh),TCP,permit,deny log only,SAP SFTP communication channel from WUS1 to SG Qual
Production,allow-sg-apacsgfccprd01-to-pftlapp01-usw1-prod,ap-sg-rhq-apacsgfccprd01-001 (10.33.106.231),az-us-usw1-pftlapp01-001,22 (ssh),TCP,permit,deny log only,SAP SFTP communication channel from SG to WUS1 Production
Production,allow-usw1-pftlapp01-to-apacsgfccprd01-sg-prod,az-us-usw1-pftlapp01-001,ap-sg-rhq-apacsgfccprd01-001 (10.33.106.231),22 (ssh),TCP,permit,deny log only,SAP SFTP communication channel from WUS1 to SG Production
Production,allow-sgall-ad-dns-to-usw1-prod,GRPNET-ap-sg-rhq-all-001,"az-us-usw1-glbwdsh02-001
az-us-usw1-glbwdsh01-001","53 (domain-tcp)
53 (domain-udp)
88 (Kerberos_v5_TCP)
88 (Kerberos_v5_UDP)
139 (nbsession)
389 (ldap)
389 (ldap_udp)
445 (microsoft-ds)
445 (microsoft-ds-udp)
464 (ad-kerberos-464)
464 (ad-kerberos-464-udp)
3268 (ad-glbcatalog-3268)
1024-65535 (tcp-high-ports)
123 (ntp-udp)


",TCP/UDP,permit,deny log only,Active-Directory/DNS global.shiseido.com flows (West-US - Singapore) 
Production,allow-usw1-ad-dns-to-sgall-prod,"az-us-usw1-glbwdsh02-001
az-us-usw1-glbwdsh01-001",GRPNET-ap-sg-rhq-all-001,"53 (domain-tcp)
53 (domain-udp)
88 (Kerberos_v5_TCP)
88 (Kerberos_v5_UDP)
139 (nbsession)
389 (ldap)
389 (ldap_udp)
445 (microsoft-ds)
445 (microsoft-ds-udp)
464 (ad-kerberos-464)
464 (ad-kerberos-464-udp)
3268 (ad-glbcatalog-3268)
1024-65535 (tcp-high-ports)
123 (ntp-udp)
",TCP/UDP,permit,deny log only,Active-Directory/DNS global.shiseido.com flows (West-US - Singapore) 
Production,allow-usw1-zabbix-to-sg-apacssccmprd01-prod,az-us-usw1-zablmgh01-001,ap-sg-rhq-apacssccmprd01-001 (10.33.135.50),ALL,TCP/ICMP,permit,deny log only,Zabbix Monitoring West-US over Singapore agent. 
Production,allow-sg-apacssccmprd01-to-zabbix-usw1-prod,ap-sg-rhq-apacssccmprd01-001 (10.33.135.50),az-us-usw1-zablmgh01-001,ALL,TCP/ICMP,permit,deny log only,Zabbix Monitoring West-US over Singapore agent. 
Quality/Preprod,allow-sgall-to-S4-usw1-qual-preprod,GRPNET-ap-sg-rhq-all-001,"az-us-usw1-qsflapn01-001
az-us-usw1-s4-preprod-lbfe-rwf-wd-001 (10.51.24.4)
az-us-usw1-rwflapr01-001
az-us-usw1-rwflapr02-001
az-us-usw1-rsflapr11-001
az-us-usw1-rsflapr12-001
az-us-usw1-tsflapn01-001
az-us-usw1-ss1lapn01-001
az-us-usw1-ss2lapn01-001
az-us-usw1-ss3lapn01-001
az-us-usw1-ss4lapn01-001
az-us-usw1-mdg-qal-lbfe-qmf-ascs-001 (10.51.18.23)
az-us-usw1-qgrlapn01-001
az-us-usw1-qs1lapn01-001
az-us-usw1-qmflapn01-001
az-us-usw1-qs1lapn01-001
az-us-usw1-S4-preprod-lbfe-rsf-ascs-001 (10.51.18.25)","4301 (sap-https-4301)
443 (https)
3210 (sap-disp-3210)
3310 (sap-gw-3310)
3211 (sap-disp-3211)
3311 (sap-gw-3311)
3212 (sap-disp-3212)
3313 (sap-gw-3313)
3201 (sap-disp-3201)
3301 (sap-gw-3301)
3601 (sap-ms-3601)
3200 (sap-disp-3200)
3300 (sap-gw-3300)",TCP,permit,deny log only,SAP S4-Fiori and SapGui Qualtiy/No Production access. 
Quality,allow-sgall-to-pi-po-usw1-qual-preprod,GRPNET-ap-sg-rhq-all-001,"az-us-usw1-dpflapn01-002 (10.51.33.26)
az-us-usw1-qpflapn01-002 (10.51.35.15)","50000 (sap-http-50000)
80 (http)",TCP,permit,deny log only,SAP PI/PO - Qualtiy/No Production access.
